[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
[grid] off                    explain_9        run_on   OK  think=  254 close=True rep4=0.155 | 'Optimization\u202f9 in a typical\u202f-O2 pipeline is ofte'
[grid] L32_a0.4               capital_hungary  run_on   OK  think=   70 close=True rep4=0.209 | 'Budapest'
[grid] L32_a0.4               add_62_130       control  OK  think=   37 close=True rep4=0.0 | '192'
[grid] L32_a0.4               add_44_88        control  OK  think=   37 close=True rep4=0.0 | '132'
[grid] L32_a0.4               paris_coastal    control  OK  think=   29 close=True rep4=0.0 | 'No.'
[grid] L32_a0.4               primes_below_60  hard     OK  think=   85 close=True rep4=0.0 | '17'
[grid] L32_a0.4               digit_sum        hard     OK  think=   43 close=True rep4=0.0 | '31'
[grid] L32_a0.4               train_meet       hard     OK  think=   57 close=True rep4=0.019 | '2'
[grid] L32_a0.4               sort_words       hard     OK  think=   23 close=True rep4=0.0 | 'apple, banana, cherry, fig, mango, pear'
[grid] L32_a0.4               mod_pow          hard     OK  think=  470 close=True rep4=0.274 | '11'
[grid] L32_a0.4               count_r          hard     OK  think=   66 close=True rep4=0.0 | '3'
[grid] L32_a0.4               bat_ball         hard     OK  think=   99 close=True rep4=0.021 | '5'
== L32_a0.4: closed 16/16 correct 16/16 think_tokens 1362
[grid] L32_two_mode           explain_9        run_on   OK  think=  122 close=True rep4=0.059 | 'Compiler optimization\u202f9 in a typical\u202f-O2 pipelin'
[grid] L32_two_mode           explain_13       run_on   OK  think=  226 close=True rep4=0.027 | 'Optimization #13 in a typical -O2 pipeline is us'
[grid] L32_two_mode           explain_15       run_on   OK  think=  250 close=True rep4=0.081 | 'Optimization\u202f15 in a typical\u202f-O2 pipeline is usu'
[grid] L32_two_mode           explain_18       run_on   OK  think=  587 close=True rep4=0.235 | 'Optimization\u202f18 in a typical\u202f-O2 pipeline is mos'
[grid] L32_two_mode           translate_house  run_on   OK  think=   82 close=True rep4=0.013 | '**Traduction :**\n- Anglais : *house* → Français '
[grid] L32_two_mode           capital_hungary  run_on   OK  think=   78 close=True rep4=0.16 | 'Budapest'
[grid] L32_two_mode           add_62_130       control  OK  think=   42 close=True rep4=0.051 | '192'
[grid] L32_two_mode           add_44_88        control  OK  think=   45 close=True rep4=0.0 | '132'
[grid] L32_two_mode           paris_coastal    control  OK  think=   55 close=True rep4=0.0 | 'No.'
[grid] L32_two_mode           primes_below_60  hard     OK  think=   84 close=True rep4=0.0 | '17'
[grid] L32_two_mode           digit_sum        hard     OK  think=   43 close=True rep4=0.0 | '31'
[grid] L32_two_mode           train_meet       hard     OK  think=   56 close=True rep4=0.0 | '2'
[grid] L32_two_mode           sort_words       hard     OK  think=   38 close=True rep4=0.0 | 'apple, banana, cherry, fig, mango, pear'
[grid] L32_two_mode           mod_pow          hard     OK  think=  159 close=True rep4=0.09 | '11'
[grid] L32_two_mode           count_r          hard     OK  think=   82 close=True rep4=0.0 | '3'
[grid] L32_two_mode           bat_ball         hard     OK  think=   99 close=True rep4=0.125 | '5'
== L32_two_mode: closed 16/16 correct 16/16 think_tokens 2048
[grid] L32_random_a0.2        explain_9        run_on   --- think= 2400 close=False rep4=0.926 | ''
[grid] L32_random_a0.2        explain_13       run_on   --- think= 2400 close=False rep4=0.864 | ''
[grid] L32_random_a0.2        explain_15       run_on   --- think= 2400 close=False rep4=0.911 | ''
[grid] L32_random_a0.2        explain_18       run_on   --- think= 2400 close=False rep4=0.681 | ''
[grid] L32_random_a0.2        translate_house  run_on   OK  think=  111 close=True rep4=0.065 | '**Traduction :**\n- Anglais : house → Français : '
[grid] L32_random_a0.2        capital_hungary  run_on   --- think= 2400 close=False rep4=0.946 | ''
[grid] L32_random_a0.2        add_62_130       control  OK  think=   49 close=True rep4=0.065 | '192'
[grid] L32_random_a0.2        add_44_88        control  OK  think=   68 close=True rep4=0.062 | '132'
[grid] L32_random_a0.2        paris_coastal    control  OK  think=   50 close=True rep4=0.0 | 'No.'
[grid] L32_random_a0.2        primes_below_60  hard     OK  think=  176 close=True rep4=0.006 | '17'
[grid] L32_random_a0.2        digit_sum        hard     OK  think=  109 close=True rep4=0.085 | '31'
[grid] L32_random_a0.2        train_meet       hard     OK  think=   70 close=True rep4=0.0 | '2'
[grid] L32_random_a0.2        sort_words       hard     OK  think=   40 close=True rep4=0.0 | 'apple, banana, cherry, fig, mango, pear'
[grid] L32_random_a0.2        mod_pow          hard     OK  think=  315 close=True rep4=0.173 | '11'
[grid] L32_random_a0.2        count_r          hard     OK  think=  104 close=True rep4=0.01 | '3'
[grid] L32_random_a0.2        bat_ball         hard     OK  think=   97 close=True rep4=0.096 | '5'
== L32_random_a0.2: closed 11/16 correct 11/16 think_tokens 13189
[grid] L32_random_a0.4        explain_9        run_on   --- think= 2400 close=False rep4=0.945 | ''
[grid] L32_random_a0.4        explain_13       run_on   OK  think=  210 close=True rep4=0.068 | 'Optimization #13 in a typical\u202f-O2 pipeline is us'
[grid] L32_random_a0.4        explain_15       run_on   --- think= 2400 close=False rep4=0.798 | ''
[grid] L32_random_a0.4        explain_18       run_on   --- think= 2400 close=False rep4=0.807 | ''
[grid] L32_random_a0.4        translate_house  run_on   OK  think=  338 close=True rep4=0.31 | '**Traduction :**\n- Anglais : house → Français : '
[grid] L32_random_a0.4        capital_hungary  run_on   --- think= 2400 close=False rep4=0.956 | ''
[grid] L32_random_a0.4        add_62_130       control  OK  think=   50 close=True rep4=0.043 | '192'
[grid] L32_random_a0.4        add_44_88        control  OK  think=   50 close=True rep4=0.043 | '132'
[grid] L32_random_a0.4        paris_coastal    control  OK  think=   62 close=True rep4=0.034 | 'No.'
[grid] L32_random_a0.4        primes_below_60  hard     OK  think=  162 close=True rep4=0.038 | '17'
[grid] L32_random_a0.4        digit_sum        hard     OK  think=  142 close=True rep4=0.086 | '31'
[grid] L32_random_a0.4        train_meet       hard     OK  think=   46 close=True rep4=0.0 | '2'
[grid] L32_random_a0.4        sort_words       hard     OK  think=   44 close=True rep4=0.0 | 'apple, banana, cherry, fig, mango, pear'
[grid] L32_random_a0.4        mod_pow          hard     OK  think=  310 close=True rep4=0.147 | '11'
[grid] L32_random_a0.4        count_r          hard     OK  think=   90 close=True rep4=0.0 | '3'
[grid] L32_random_a0.4        bat_ball         hard     OK  think=   99 close=True rep4=0.125 | '5'
== L32_random_a0.4: closed 12/16 correct 12/16 think_tokens 11203
[grid] L32_random_two_mode    explain_9        run_on   --- think= 2400 close=False rep4=0.872 | ''
[grid] L32_random_two_mode    explain_13       run_on   --- think= 2400 close=False rep4=0.585 | ''
[grid] L32_random_two_mode    explain_15       run_on   OK  think=  654 close=True rep4=0.192 | 'Optimization\u202f15, often called loop tiling (or lo'
[grid] L32_random_two_mode    explain_18       run_on   --- think= 2400 close=False rep4=0.664 | ''
[grid] L32_random_two_mode    translate_house  run_on   OK  think=  150 close=True rep4=0.054 | 'Le mot anglais « house » se traduit en français '
[grid] L32_random_two_mode    capital_hungary  run_on   --- think= 2400 close=False rep4=0.959 | ''
[grid] L32_random_two_mode    add_62_130       control  OK  think=   53 close=True rep4=0.04 | '192'
[grid] L32_random_two_mode    add_44_88        control  OK  think=   49 close=True rep4=0.0 | '132'
[grid] L32_random_two_mode    paris_coastal    control  OK  think=   71 close=True rep4=0.0 | 'No.'
[grid] L32_random_two_mode    primes_below_60  hard     OK  think=  177 close=True rep4=0.006 | '17'
[grid] L32_random_two_mode    digit_sum        hard     OK  think=  127 close=True rep4=0.089 | '31'
[grid] L32_random_two_mode    train_meet       hard     OK  think=   67 close=True rep4=0.0 | '2'
[grid] L32_random_two_mode    sort_words       hard     OK  think=  159 close=True rep4=0.128 | 'apple, banana, cherry, fig, mango, pear'
[grid] L32_random_two_mode    mod_pow          hard     OK  think=  163 close=True rep4=0.106 | '11'
[grid] L32_random_two_mode    count_r          hard     OK  think=   91 close=True rep4=0.0 | '3'
[grid] L32_random_two_mode    bat_ball         hard     OK  think=  106 close=True rep4=0.117 | '5'
== L32_random_two_mode: closed 12/16 correct 12/16 think_tokens 11467
finished
